Gene	p_value
ENSMUSG00000024798	0.0006594006604940209
ENSMUSG00000042385	0.00016474718964643812
ENSMUSG00000036198	0.026340140320926273
ENSMUSG00000028780	0.0012456268341645021
ENSMUSG00000015843	6.170417431643273e-05
ENSMUSG00000026768	0.0015705959324391443
ENSMUSG00000049928	0.00021181654366751162
ENSMUSG00000041046	0.003954713555503217
ENSMUSG00000004633	0.0017425841929968478
ENSMUSG00000026514	0.0005733721626280807
ENSMUSG00000037681	0.00014739854307517167
ENSMUSG00000051910	0.0007783181770843773
ENSMUSG00000005672	8.952946387109921e-05
ENSMUSG00000032649	0.028554418235462124
ENSMUSG00000027568	0.005548741323941497
ENSMUSG00000046719	0.005817384197672208
ENSMUSG00000031130	0.028000224675783166
ENSMUSG00000020182	0.0021110473078898595
ENSMUSG00000046546	0.009577092770800847
ENSMUSG00000050783	0.0002849693608849801
ENSMUSG00000079330	0.0023286978806312275
ENSMUSG00000026639	0.02949243420290453
ENSMUSG00000027859	0.0008654136430805521
ENSMUSG00000005892	0.002273893281007784
ENSMUSG00000021919	0.0006824519305707572
ENSMUSG00000044317	0.00046794951653300994
ENSMUSG00000021032	0.005001471525378209
ENSMUSG00000049436	0.0006549780085498512
ENSMUSG00000040016	9.676085289324637e-05
ENSMUSG00000029123	0.03748842201484479
ENSMUSG00000036357	0.0016885227342106172
ENSMUSG00000026668	0.0008004578031850385
ENSMUSG00000071984	0.004055892044966831
ENSMUSG00000033740	0.0010170236838095944
ENSMUSG00000050377	2.995714915742911e-06
ENSMUSG00000091002	0.0018659325687446612
ENSMUSG00000002688	0.00012468916865242857
ENSMUSG00000029101	0.023122478487053014
ENSMUSG00000051354	4.4611904750549064e-07
ENSMUSG00000004415	0.006327004810425124
ENSMUSG00000020000	0.0013390964752563823
ENSMUSG00000045092	7.032261622922471e-05
ENSMUSG00000046982	0.002994277746008378
ENSMUSG00000001985	0.0009005272630587252
ENSMUSG00000000766	0.0031182321054338187
ENSMUSG00000097516	0.025317574265998177
ENSMUSG00000031552	0.0007306671961682763
ENSMUSG00000031738	0.002808054828207673
ENSMUSG00000027253	0.0044609325876245375
ENSMUSG00000042064	0.0009799402247770265
ENSMUSG00000000889	0.0254038286932431
ENSMUSG00000045518	3.8066467823090173e-06
ENSMUSG00000020651	0.004073281789076185
ENSMUSG00000016494	1.691741598505901e-05
ENSMUSG00000028927	0.005792567961796922
ENSMUSG00000085562	0.0002259807147638332
ENSMUSG00000031283	0.000569745854751446
ENSMUSG00000024211	0.00015386362203235486
ENSMUSG00000071317	1.3159356216975847e-05
ENSMUSG00000031688	0.00019165119963534372
ENSMUSG00000041741	0.004256751778277501
ENSMUSG00000033006	0.0006959679725354248
ENSMUSG00000058624	1.2941982289871228e-06
ENSMUSG00000019768	8.255727016733783e-05
ENSMUSG00000028876	0.002834006985396438
ENSMUSG00000029026	0.0031160609354299825
ENSMUSG00000042115	0.001898236587388166
ENSMUSG00000043441	0.015310475888575828
ENSMUSG00000019803	0.0007572918316213228
ENSMUSG00000073154	0.00226009750219012
ENSMUSG00000025776	1.4393025592021811e-05
ENSMUSG00000022041	0.00048295466969487086
ENSMUSG00000005973	0.0026617829693904374
ENSMUSG00000091712	0.0018149396932207271
ENSMUSG00000021998	2.0911501187951226e-06
ENSMUSG00000058260	8.989870749419817e-05
ENSMUSG00000009734	3.4420816345752956e-06
ENSMUSG00000017493	2.3631577044625056e-05
ENSMUSG00000041771	0.047259522520635
ENSMUSG00000074852	0.00024374088467343587
ENSMUSG00000015812	0.010916144936991645
ENSMUSG00000053007	0.0008554054352091225
ENSMUSG00000060735	0.0007533730925055926
ENSMUSG00000046314	0.0029365834609404303
ENSMUSG00000032281	6.990840861694862e-05
ENSMUSG00000055116	0.010098000772504556
ENSMUSG00000049420	7.48065185683286e-05
ENSMUSG00000050473	0.0007767904568721923
ENSMUSG00000019846	0.0007582396748459298
ENSMUSG00000048138	2.3393200769809856e-05
ENSMUSG00000028214	0.0001583858690410794
ENSMUSG00000000567	7.214095452470316e-05
ENSMUSG00000085139	7.229584119357098e-06
ENSMUSG00000069132	0.019167525143170966
ENSMUSG00000010476	0.02853709028316047
ENSMUSG00000005583	8.365904666390808e-06
ENSMUSG00000037653	0.000732072128851108
ENSMUSG00000053846	0.0003262271064159178
ENSMUSG00000074345	3.2072181657182746e-05
ENSMUSG00000049112	9.248561138826186e-05
ENSMUSG00000046500	0.0016858667968934924
ENSMUSG00000028602	0.00013234671759202143
ENSMUSG00000050600	0.0001798497002802335
ENSMUSG00000018819	0.005025452444422165
ENSMUSG00000019139	0.0005565328618165402
ENSMUSG00000030235	0.00010704071140614889
ENSMUSG00000090125	2.8477557270030508e-05
ENSMUSG00000034009	5.298047848626458e-06
ENSMUSG00000015134	0.0011654187108146921
ENSMUSG00000026826	0.0013723633333585581
ENSMUSG00000023067	0.011331772385036746
ENSMUSG00000052430	5.561474431377834e-06
ENSMUSG00000019647	0.0028098876008775756
ENSMUSG00000025068	0.00015272051694600308
ENSMUSG00000061086	0.008175268062291368
ENSMUSG00000035357	0.0004749317031268185
ENSMUSG00000026042	0.03835631950929013
ENSMUSG00000022021	0.00993681991327621
ENSMUSG00000044071	9.91401402066092e-05
ENSMUSG00000078591	1.0062515180027508e-06
ENSMUSG00000039405	0.04287813413413369
ENSMUSG00000050953	0.00013806773325293327
ENSMUSG00000035493	0.003795962398385202
ENSMUSG00000027849	0.001477429632178081
ENSMUSG00000049314	0.0003622838026996421
ENSMUSG00000053399	0.020747889578242185
ENSMUSG00000045509	0.00400666984106335
ENSMUSG00000031112	5.236258753431192e-09
ENSMUSG00000035551	0.007569348655204762
ENSMUSG00000102692	0.001207105074077575
ENSMUSG00000036422	0.0029884618766595453
ENSMUSG00000025932	0.0006287593763595681
ENSMUSG00000042501	0.0108089406681662
ENSMUSG00000027737	9.817998320005044e-06
ENSMUSG00000026249	0.0037617057566731635
ENSMUSG00000035506	0.0015723060756121078
ENSMUSG00000056427	0.0007359219213497215
ENSMUSG00000040125	0.0013925944633323942
ENSMUSG00000066197	0.001785653265534191
ENSMUSG00000021478	5.506733618929651e-06
ENSMUSG00000030905	0.0049763846209151434
ENSMUSG00000037625	0.001613062141826574
ENSMUSG00000040856	0.013108110918545862
ENSMUSG00000041710	1.64209405548798e-05
ENSMUSG00000043659	0.0030499988373403402
ENSMUSG00000044393	0.0001990901575379912
ENSMUSG00000004151	0.00021293012311969468
ENSMUSG00000024521	4.1356401514275905e-07
ENSMUSG00000001870	0.005371397996389329
ENSMUSG00000041828	0.037382661680500986
ENSMUSG00000032446	0.00463705456025601
ENSMUSG00000031654	0.048178398128058395
ENSMUSG00000028364	0.023620149918473894
ENSMUSG00000003657	1.2033029814498136e-05
ENSMUSG00000059203	2.4144317160918908e-05
ENSMUSG00000029304	0.00400926807930504
ENSMUSG00000040998	0.0026008769307120532
ENSMUSG00000030093	0.009018212092671979
ENSMUSG00000021099	0.000111796151559073
ENSMUSG00000069793	0.0005704691596968563
ENSMUSG00000032087	0.0020123603691646406
ENSMUSG00000061013	4.9342876495558495e-05
ENSMUSG00000039809	0.01751842541132594
ENSMUSG00000046561	0.0003405371263827709
ENSMUSG00000026479	0.001715659987123246
ENSMUSG00000019848	0.00015331912924376374
ENSMUSG00000024084	0.00037184938964655227
ENSMUSG00000005917	0.00043927742045764506
ENSMUSG00000048402	0.0002855159832509136
ENSMUSG00000004872	0.008388672676270297
ENSMUSG00000087095	2.3825860906980512e-07
ENSMUSG00000049892	1.212853457241896e-05
ENSMUSG00000026414	0.0020168446233912157
ENSMUSG00000104586	0.0007717961913663417
ENSMUSG00000050100	0.00319566656015485
ENSMUSG00000039115	0.00012075640242868518
ENSMUSG00000003418	0.00021132400296676283
ENSMUSG00000020566	4.917428990075702e-05
ENSMUSG00000074575	0.002932041584409288
ENSMUSG00000013611	0.007056258321267083
ENSMUSG00000034098	0.00012675135187304766
ENSMUSG00000039116	0.0021210378266176143
ENSMUSG00000070469	0.004041563774044946
ENSMUSG00000030898	0.00034014423691343864
ENSMUSG00000041120	0.016660405439267955
ENSMUSG00000048988	0.0003398877249178884
ENSMUSG00000036466	0.016237568526324363
